question,answer,label,domain,difficulty
What is polymorphism in OOP?,"Inheritance allows a child class to acquire the properties and methods of a parent class, enabling code reuse. For example, a `Dog` class can inherit from `Animal`, reusing its `eat()` and `sleep()` methods while adding its own `bark()` method.",correct,OOP,easy
What is polymorphism in OOP?,Encapsulation is about keeping data inside a class. I know it uses private variables but I'm not fully clear on how access modifiers work across different languages.,partial,OOP,easy
What is polymorphism in OOP?,A class and an object are the same thing in Python. You use the keywords interchangeably when writing code.,incorrect,OOP,easy
Explain the difference between a class and an object.,Method overriding occurs when a subclass provides a specific implementation for a method already defined in its parent class. Method overloading means defining multiple methods with the same name but different parameters — Python handles this with default/variable arguments.,correct,OOP,easy
Explain the difference between a class and an object.,Polymorphism is when different classes can use the same method name. It helps with flexibility but I'm not entirely sure about all the details like compile-time vs runtime polymorphism.,partial,OOP,easy
Explain the difference between a class and an object.,SOLID is a testing framework used to verify OOP code correctness. It stands for different types of unit test strategies.,incorrect,OOP,easy
What is encapsulation and why is it important?,"Polymorphism allows objects of different classes to be treated as objects of a common superclass. It enables a single interface to represent different underlying forms, such as method overriding in subclasses or method overloading. For example, a `Shape` class can have an `area()` method that is overridden differently by `Circle` and `Rectangle` subclasses.",correct,OOP,easy
What is encapsulation and why is it important?,Design patterns are templates for solving common problems. I've heard of Singleton and Factory but I haven't used them in practice so I only have a surface-level understanding.,partial,OOP,easy
What is encapsulation and why is it important?,"Design patterns are Python built-in libraries you import to solve specific problems, like `import singleton` or `import factory`.",incorrect,OOP,easy
What is inheritance in object-oriented programming?,Abstract classes define a template with abstract methods that must be implemented by subclasses. Interfaces (in Python via ABCs) declare method signatures without implementation. The difference: abstract classes can have concrete methods; interfaces are purely contracts.,correct,OOP,easy
What is inheritance in object-oriented programming?,Overriding is when a child class changes a parent method. Overloading I think is similar but I'm not sure of the exact distinction in Python specifically.,partial,OOP,easy
What is inheritance in object-oriented programming?,Abstract classes and interfaces are identical in Python. There is no practical difference between using one or the other.,incorrect,OOP,easy
Explain method overriding vs method overloading.,"A class is a blueprint that defines the structure and behavior of objects. An object is a concrete instance of that class. For example, `Car` is a class; `my_car = Car()` creates an object.",correct,OOP,medium
Explain method overriding vs method overloading.,SOLID has something to do with good OOP design principles. I remember Single Responsibility and Open/Closed but I can't recall all five principles clearly.,partial,OOP,medium
Explain method overriding vs method overloading.,"Inheritance means a child class completely replaces the parent class. Once you inherit, the parent class is no longer used.",incorrect,OOP,medium
What is the SOLID principle?,Encapsulation bundles data (attributes) and behavior (methods) into a single unit called a class and restricts direct access to some of an object's components. This is typically done using access modifiers like private or protected. It improves maintainability and protects object integrity.,correct,OOP,medium
What is the SOLID principle?,Inheritance lets one class use methods from another class. I know it helps with code reuse but I'm not sure about the differences between single and multiple inheritance.,partial,OOP,medium
What is the SOLID principle?,"Polymorphism means an object can store multiple values at the same time, like a list. It's mainly used for data storage in OOP.",incorrect,OOP,medium
What is the difference between abstract classes and interfaces?,"Design patterns are reusable solutions to common software design problems. The Singleton pattern, for example, ensures a class has only one instance and provides a global access point to it. The Factory pattern creates objects without specifying the exact class to instantiate.",correct,OOP,medium
What is the difference between abstract classes and interfaces?,Abstract classes can't be instantiated directly and have some unimplemented methods. I think interfaces are similar but I'm not sure exactly how Python implements them.,partial,OOP,medium
What is the difference between abstract classes and interfaces?,Overriding and overloading are the same concept — both mean changing a method's behavior in a subclass.,incorrect,OOP,medium
Explain the concept of design patterns. Give an example.,"SOLID stands for: Single Responsibility, Open/Closed, Liskov Substitution, Interface Segregation, and Dependency Inversion. These five principles guide writing maintainable, scalable OOP code. For example, Single Responsibility means a class should have only one reason to change.",correct,OOP,hard
Explain the concept of design patterns. Give an example.,"A class defines attributes and methods, and objects are created from it. I think objects are instances but I'm not confident about memory allocation details.",partial,OOP,hard
Explain the concept of design patterns. Give an example.,Encapsulation means combining two classes together into one to save memory. It's a way to merge functionality across classes.,incorrect,OOP,hard
What is the difference between a list and a tuple in Python?,"Lists are mutable ordered collections while tuples are immutable. Lists use square brackets `[1, 2, 3]` and support item assignment; tuples use parentheses `(1, 2, 3)` and cannot be changed after creation. Tuples are faster and can be used as dictionary keys.",correct,Python,easy
What is the difference between a list and a tuple in Python?,Generators yield values one at a time. I know they save memory but I haven't used them extensively in real projects.,partial,Python,easy
What is the difference between a list and a tuple in Python?,"Decorators are used to add comments to functions in Python. They don't change behavior, they just annotate the function for documentation purposes.",incorrect,Python,easy
What are Python decorators and how do they work?,The GIL (Global Interpreter Lock) is a mutex in CPython that allows only one thread to execute Python bytecode at a time. It prevents race conditions in memory management but limits true multi-threading parallelism. Solutions include multiprocessing or using C extensions.,correct,Python,medium
What are Python decorators and how do they work?,List comprehension is a shorter way to write a for-loop inside a list. Like `[x for x in range(5)]`. I use it often but don't know all the advanced forms like nested comprehensions.,partial,Python,medium
What are Python decorators and how do they work?,Lists and tuples are identical in Python. The only difference is the brackets used — square brackets vs parentheses — but functionally they behave the same.,incorrect,Python,medium
Explain Python's GIL (Global Interpreter Lock).,"*args captures extra positional arguments as a tuple; **kwargs captures extra keyword arguments as a dictionary. Example: `def func(*args, **kwargs)` accepts any number of positional and keyword arguments.",correct,Python,hard
Explain Python's GIL (Global Interpreter Lock).,Lists can be changed but tuples can't. I know tuples use parentheses but I'm not sure about performance differences or when to prefer one over the other.,partial,Python,hard
Explain Python's GIL (Global Interpreter Lock).,A generator is a class that generates random numbers. It's used primarily in data science for creating synthetic datasets.,incorrect,Python,hard
What is a generator in Python?,Shallow copy creates a new object but references the same nested objects. Deep copy recursively copies all nested objects too. Use `copy.copy()` for shallow and `copy.deepcopy()` for deep copy.,correct,Python,medium
What is a generator in Python?,The GIL is something to do with Python threads being limited. I know it affects performance in some way but I'm not clear on the technical mechanism.,partial,Python,medium
What is a generator in Python?,The GIL is a Python library used for multi-processing. You import it when you need to run parallel computations.,incorrect,Python,medium
Explain list comprehension in Python with an example.,List comprehension provides a concise way to create lists. Example: `[x**2 for x in range(10)]` creates a list of squares. It's faster than a for-loop and more Pythonic.,correct,Python,easy
Explain list comprehension in Python with an example.,Decorators modify a function's behavior. I've used `@staticmethod` before but writing custom decorators is something I haven't done much.,partial,Python,easy
Explain list comprehension in Python with an example.,Deep copy and shallow copy refer to memory depth in arrays — shallow copies only the first dimension and deep copies all dimensions.,incorrect,Python,easy
What is the difference between deep copy and shallow copy?,"Decorators are functions that wrap another function to extend its behavior without modifying it. Using `@decorator_name` syntax, they intercept the function call. A common example is `@staticmethod` or a custom `@timer` decorator that measures execution time.",correct,Python,medium
What is the difference between deep copy and shallow copy?,Shallow copy copies the object but deep copy also copies nested objects. I sometimes confuse which one to use in practice.,partial,Python,medium
What is the difference between deep copy and shallow copy?,*args means the function accepts no arguments at all. **kwargs means it accepts only keyword arguments defined in the function signature.,incorrect,Python,medium
What are *args and **kwargs in Python?,A generator is a function that yields values lazily using the `yield` keyword instead of returning all at once. It saves memory for large sequences. Example: `def count(): yield 1; yield 2`.,correct,Python,medium
What are *args and **kwargs in Python?,*args is for variable positional arguments and **kwargs for keyword arguments. I use them occasionally but I'm not confident about combining them with regular parameters.,partial,Python,medium
What are *args and **kwargs in Python?,List comprehension is a built-in Python function called `listcomp()`. You pass it an iterable and it returns a new list.,incorrect,Python,medium
What is the difference between a stack and a queue?,"A heap is a complete binary tree satisfying the heap property: in a max-heap, every parent is greater than its children. Heaps are used for priority queues and HeapSort. Operations like insert and extract-min/max are O(log n).",correct,Data Structures,easy
What is the difference between a stack and a queue?,A hash map uses a hash function to store key-value pairs. I understand the basic concept but collision handling details like chaining vs probing are fuzzy for me.,partial,Data Structures,easy
What is the difference between a stack and a queue?,A BST is a binary tree where each node has exactly two children. All nodes must be filled before the tree can be used for searching.,incorrect,Data Structures,easy
Explain how a hash map works.,A hash map stores key-value pairs using a hash function to compute an index (bucket) for each key. This gives O(1) average-case lookup. Collisions are handled via chaining or open addressing.,correct,Data Structures,medium
Explain how a hash map works.,A BST organizes data so left is smaller and right is larger. I understand searching but I'm less confident about balancing operations like AVL or Red-Black trees.,partial,Data Structures,medium
Explain how a hash map works.,A hash map stores data sorted alphabetically. The hash function just assigns the position based on the first letter of the key.,incorrect,Data Structures,medium
What is a binary search tree and its properties?,"BFS (Breadth-First Search) explores nodes level by level using a queue, good for shortest paths. DFS (Depth-First Search) explores as deep as possible before backtracking, using a stack or recursion.",correct,Data Structures,medium
What is a binary search tree and its properties?,BFS uses a queue and DFS uses a stack or recursion. I know the difference but I sometimes confuse when to use which for specific problem types.,partial,Data Structures,medium
What is a binary search tree and its properties?,BFS and DFS are sorting algorithms. BFS sorts from the root and DFS sorts from leaves of a tree structure.,incorrect,Data Structures,medium
Explain the difference between BFS and DFS.,"A linked list is a sequence of nodes where each node holds data and a pointer to the next node. It's preferred over arrays when frequent insertions/deletions at arbitrary positions are needed, since no shifting is required.",correct,Data Structures,medium
Explain the difference between BFS and DFS.,A heap is some kind of tree used for priority queues. I know the basic idea but heapify and the internal implementation details are not fully clear to me.,partial,Data Structures,medium
Explain the difference between BFS and DFS.,A linked list is just another name for a Python list. They are interchangeable and have the same performance characteristics.,incorrect,Data Structures,medium
What is a linked list and when would you use it over an array?,"A BST is a binary tree where every left child is smaller than its parent and every right child is larger. This property enables O(log n) search, insert, and delete on average for balanced trees.",correct,Data Structures,easy
What is a linked list and when would you use it over an array?,A stack is LIFO and a queue is FIFO. I know the difference conceptually but I'm not always sure which Python data structure to use to implement them efficiently.,partial,Data Structures,easy
What is a linked list and when would you use it over an array?,A stack and a queue are the same thing. Both follow FIFO order and the only difference is that stacks are used in Python and queues are used in Java.,incorrect,Data Structures,easy
Explain what a heap data structure is.,A stack is a LIFO (Last In First Out) structure — think of stacking plates. A queue is FIFO (First In First Out) — like a line at a bank. Stacks use `push`/`pop`; queues use `enqueue`/`dequeue`.,correct,Data Structures,hard
Explain what a heap data structure is.,A linked list stores elements as nodes connected by pointers. I understand the concept but I'm not confident implementing all operations like reversing it in-place.,partial,Data Structures,hard
Explain what a heap data structure is.,A heap is a type of database that stores data in chunks called heaps. It's mainly used for disk-based storage in database management systems.,incorrect,Data Structures,hard
What is the time complexity of QuickSort?,"Dynamic programming solves complex problems by breaking them into overlapping subproblems and storing results (memoization/tabulation) to avoid redundant computation. Classic examples: Fibonacci, Longest Common Subsequence, Knapsack problem.",correct,Algorithms,medium
What is the time complexity of QuickSort?,Binary search divides the array in half each time. I know it requires a sorted array and is O(log n) but I sometimes struggle implementing it without off-by-one errors.,partial,Algorithms,medium
What is the time complexity of QuickSort?,Recursion means a program runs in a loop. It's the same as a while loop but uses different syntax.,incorrect,Algorithms,medium
Explain binary search and its time complexity.,"Binary search works on a sorted array by repeatedly halving the search space. It compares the target with the middle element, then searches left or right half. Time complexity: O(log n).",correct,Algorithms,easy
Explain binary search and its time complexity.,Recursion is when a function calls itself. I understand it conceptually and have used it for simple cases like factorials but complex recursive algorithms are still challenging.,partial,Algorithms,easy
Explain binary search and its time complexity.,Dynamic programming means your program adapts at runtime. It's a Python feature where variables automatically change type based on the context.,incorrect,Algorithms,easy
What is dynamic programming?,Recursion is when a function calls itself with a smaller input until a base case is reached. Example: `def factorial(n): return 1 if n == 0 else n * factorial(n-1)`. It's elegant but can cause stack overflow for large inputs without optimization.,correct,Algorithms,hard
What is dynamic programming?,Dynamic programming is about solving problems by breaking them into subproblems. I understand memoization conceptually but I find it hard to identify DP problems from scratch.,partial,Algorithms,hard
What is dynamic programming?,Binary search works on any unsorted array. You just check elements one by one from both ends simultaneously to make it fast.,incorrect,Algorithms,hard
Explain the concept of recursion with an example.,"QuickSort has an average-case time complexity of O(n log n) and a worst-case of O(n²) when the pivot selection is poor (e.g., always picking the smallest element on a sorted array). It's in-place and cache-friendly, making it fast in practice.",correct,Algorithms,easy
Explain the concept of recursion with an example.,QuickSort is O(n log n) on average. I know it's faster than BubbleSort but I'm not fully clear on how the pivot selection affects worst-case performance.,partial,Algorithms,easy
Explain the concept of recursion with an example.,QuickSort always has O(n log n) complexity in all cases. It's considered the best sorting algorithm with no downsides compared to MergeSort.,incorrect,Algorithms,easy
What is the difference between SQL and NoSQL databases?,"Normalization is the process of organizing a database to reduce redundancy and improve integrity. It involves decomposing tables into smaller ones and defining relationships. Normal forms (1NF, 2NF, 3NF) are guidelines for this process.",correct,Databases,easy
What is the difference between SQL and NoSQL databases?,SQL uses tables and is good for structured data. NoSQL is more flexible. I know the basic differences but I haven't worked with both in a production environment.,partial,Databases,easy
What is the difference between SQL and NoSQL databases?,An index is a backup copy of your table. Databases use it when the main table is locked or unavailable during high traffic.,incorrect,Databases,easy
Explain database normalization.,"A primary key uniquely identifies each row in a table and cannot be NULL. A foreign key is a column that references the primary key of another table, establishing a relationship between tables.",correct,Databases,medium
Explain database normalization.,Normalization removes duplicate data in a database. I know about 1NF and 2NF but I'm not fully confident explaining 3NF or BCNF.,partial,Databases,medium
Explain database normalization.,A primary key is the first column in any table by default. A foreign key is a key that comes from a foreign (external) database.,incorrect,Databases,medium
What is an index in a database and why is it used?,A database index is a data structure (often a B-tree) that speeds up data retrieval by allowing the database engine to find rows without full table scans. The tradeoff is slower write operations and extra storage.,correct,Databases,medium
What is an index in a database and why is it used?,A primary key uniquely identifies a row. A foreign key connects tables. I understand the concept but I sometimes confuse referential integrity rules.,partial,Databases,medium
What is an index in a database and why is it used?,Normalization means converting all text columns to normal casing (uppercase or lowercase). It's a formatting operation for consistency.,incorrect,Databases,medium
What is a primary key vs a foreign key?,"SQL databases are relational, use structured schemas with tables and enforce ACID properties. NoSQL databases (like MongoDB, Redis) are non-relational, schema-flexible, and scale horizontally. SQL is better for complex queries; NoSQL for unstructured, high-volume data.",correct,Databases,easy
What is a primary key vs a foreign key?,An index makes queries faster. I understand the benefit but I'm not sure exactly how the underlying data structure works or when NOT to add an index.,partial,Databases,easy
What is a primary key vs a foreign key?,SQL and NoSQL are basically the same. NoSQL just uses a different query language syntax but stores data in tables just like SQL.,incorrect,Databases,easy
What is a REST API?,CORS (Cross-Origin Resource Sharing) is a browser security mechanism that restricts web pages from making requests to a different domain than the one that served the page. It exists to prevent malicious sites from reading data from another site. Servers configure allowed origins via response headers.,correct,Web Development,easy
What is a REST API?,A REST API uses HTTP methods to interact with resources over the web. I've used GET and POST but I'm not fully clear on REST constraints like statelessness or HATEOAS.,partial,Web Development,easy
What is a REST API?,CORS is a type of database encryption. It stands for Cryptographic Online Record Security and is used to protect stored data.,incorrect,Web Development,easy
Explain the difference between GET and POST HTTP methods.,"A REST API is an architectural style for networked applications using HTTP methods (GET, POST, PUT, DELETE) to perform CRUD operations on resources identified by URLs. It is stateless — each request contains all information needed to process it.",correct,Web Development,easy
Explain the difference between GET and POST HTTP methods.,GET fetches data and POST sends data. I know POST is for forms and GET for retrieval but I'm not sure about idempotency differences.,partial,Web Development,easy
Explain the difference between GET and POST HTTP methods.,GET and POST are identical in terms of security and function. The only difference is that GET is faster because it's older technology.,incorrect,Web Development,easy
What is CORS and why does it exist?,"GET retrieves data from a server and should be idempotent and safe (no side effects). POST submits data to create a resource, is not idempotent, and the data is sent in the request body. GET parameters appear in the URL; POST data does not.",correct,Web Development,medium
What is CORS and why does it exist?,CORS is a browser security policy about cross-domain requests. I've encountered CORS errors before but I'm not always sure how to properly configure it on the server side.,partial,Web Development,medium
What is CORS and why does it exist?,"A REST API is a Python framework for building web applications, similar to Django or Flask. It's installed via `pip install rest`.",incorrect,Web Development,medium
What is the difference between supervised and unsupervised learning?,"Cross-validation (especially k-fold) splits data into k subsets, trains the model k times each time using a different subset as validation. It gives a more reliable estimate of model generalization than a single train/test split.",correct,Machine Learning,easy
What is the difference between supervised and unsupervised learning?,Cross-validation splits data to test model performance more reliably. I understand k-fold but I'm unsure about stratified k-fold or leave-one-out CV.,partial,Machine Learning,easy
What is the difference between supervised and unsupervised learning?,Overfitting means the model didn't train long enough. You fix it by running more epochs and using a larger learning rate.,incorrect,Machine Learning,easy
What is overfitting and how do you prevent it?,"Supervised learning uses labeled data — both input features and output labels are provided for training. Unsupervised learning uses unlabeled data to find hidden patterns or structure. Examples: classification (supervised), clustering (unsupervised).",correct,Machine Learning,medium
What is overfitting and how do you prevent it?,Supervised learning has labeled data and unsupervised doesn't. I know examples like regression and clustering but I'm fuzzy on semi-supervised or reinforcement learning.,partial,Machine Learning,medium
What is overfitting and how do you prevent it?,Supervised and unsupervised learning refer to whether a human is watching the training process. Supervised means a developer monitors the training in real-time.,incorrect,Machine Learning,medium
Explain the concept of gradient descent.,"Gradient descent is an optimization algorithm that minimizes a loss function by iteratively moving in the direction of the steepest descent (negative gradient). The learning rate controls step size. Variants include SGD, Mini-batch GD, and Adam optimizer.",correct,Machine Learning,hard
Explain the concept of gradient descent.,Gradient descent updates model weights to minimize loss. I understand the concept but I'm not confident explaining adaptive optimizers like Adam.,partial,Machine Learning,hard
Explain the concept of gradient descent.,Gradient descent is a graph visualization technique used to plot the loss curve during training. It doesn't affect the model weights.,incorrect,Machine Learning,hard
What is cross-validation in machine learning?,"Overfitting occurs when a model learns the training data too well, including noise, leading to poor generalization on unseen data. It's prevented using regularization (L1/L2), dropout, early stopping, or cross-validation.",correct,Machine Learning,medium
What is cross-validation in machine learning?,Overfitting means the model performs well on training data but badly on test data. I know regularization helps but I can't always explain the math behind L1 vs L2.,partial,Machine Learning,medium
What is cross-validation in machine learning?,Cross-validation means running the model multiple times on the same training data with different random seeds to improve accuracy.,incorrect,Machine Learning,medium
